Miles Per Gallon (MPG),Number of Cylinders,Horsepower,Weight,Model Year
18,8,130,3504,70
15,8,165,3693,70
18,8,150,3436,70
16,8,150,3433,70
17,8,140,3449,70
15,8,198,4341,70
14,8,220,4354,70
14,8,215,4312,70
14,8,225,4425,70
15,8,190,3850,70
15,8,170,3563,70
14,8,160,3609,70
15,8,150,3761,70
14,8,225,3086,70
24,4,95,2372,70
22,6,95,2833,70
18,6,97,2774,70
21,6,85,2587,70
27,4,88,2130,70
26,4,46,1835,70
25,4,87,2672,70
24,4,90,2430,70
25,4,95,2375,70
26,4,113,2234,70
21,6,90,2648,70
10,8,215,4615,70
10,8,200,4376,70
11,8,210,4382,70
9,8,193,4732,70
27,4,88,2130,71
28,4,90,2264,71
25,4,95,2228,71
19,6,100,2634,71
16,6,105,3439,71
17,6,100,3329,71
19,6,88,3302,71
18,6,100,3288,71
14,8,165,4209,71
14,8,175,4464,71
14,8,153,4154,71
14,8,150,4096,71
12,8,180,4955,71
13,8,170,4746,71
13,8,175,5140,71
18,6,110,2962,71
22,4,72,2408,71
19,6,100,3282,71
18,6,88,3139,71
23,4,86,2220,71
28,4,90,2123,71
30,4,70,2074,71
30,4,76,2065,71
31,4,65,1773,71
35,4,69,1613,71
27,4,60,1834,71
26,4,70,1955,71
24,4,95,2278,72
25,4,80,2126,72
23,4,54,2254,72
20,4,90,2408,72
21,4,86,2226,72
13,8,165,4274,72
14,8,175,4385,72
15,8,150,4135,72
14,8,153,4129,72
17,8,150,3672,72
11,8,208,4633,72
13,8,155,4502,72
12,8,160,4456,72
13,8,190,4422,72
19,3,97,2330,72
15,8,150,3892,72
13,8,130,4098,72
13,8,140,4294,72
14,8,150,4077,72
18,4,112,2933,72
22,4,76,2511,72
21,4,87,2979,72
26,4,69,2189,72
22,4,86,2395,72
28,4,92,2288,72
23,4,97,2506,72
28,4,80,2164,72
27,4,88,2100,72
13,8,175,4100,73
14,8,150,3672,73
13,8,145,3988,73
14,8,137,4042,73
15,8,150,3777,73
12,8,198,4952,73
13,8,150,4464,73
13,8,158,4363,73
14,8,150,4237,73
13,8,215,4735,73
12,8,225,4951,73
13,8,175,3821,73
18,6,105,3121,73
16,6,100,3278,73
18,6,100,2945,73
18,6,88,3021,73
23,6,95,2904,73
26,4,46,1950,73
11,8,150,4997,73
12,8,167,4906,73
13,8,170,4654,73
12,8,180,4499,73
18,6,100,2789,73
20,4,88,2279,73
21,4,72,2401,73
22,4,94,2379,73
18,3,90,2124,73
19,4,85,2310,73
21,6,107,2472,73
26,4,90,2265,73
15,8,145,4082,73
16,8,230,4278,73
29,4,49,1867,73
24,4,75,2158,73
20,4,91,2582,73
19,4,112,2868,73
15,8,150,3399,73
24,4,110,2660,73
20,6,122,2807,73
11,8,180,3664,73
20,6,95,3102,74
19,6,100,2901,74
15,6,100,3336,74
31,4,67,1950,74
26,4,80,2451,74
32,4,65,1836,74
25,4,75,2542,74
16,6,100,3781,74
16,6,110,3632,74
18,6,105,3613,74
16,8,140,4141,74
13,8,150,4699,74
14,8,150,4457,74
14,8,140,4638,74
14,8,150,4257,74
29,4,83,2219,74
26,4,67,1963,74
26,4,78,2300,74
31,4,52,1649,74
32,4,61,2003,74
28,4,75,2125,74
24,4,75,2108,74
26,4,75,2246,74
24,4,97,2489,74
26,4,93,2391,74
31,4,67,2000,74
19,6,95,3264,75
18,6,105,3459,75
15,6,72,3432,75
