Category,text
Feelings,"I was Feelings, I'm Feelings a little stressed, because I want to do well. But a good one, a good stressed, because it was challenging."
Feelings,"I felt a little frustrated during the balloon game because too many of them popped on the first pop, on the first fill and so that was kind of frustrating."
Feelings,"I guess playing the games, while the doctor is watching on, made me think of playing the games at home or at school and, like my students watching me or my husband watching me and wanting to do good or well. I guess pride, I felt proud."
Feelings,It was fun and relaxing playing the games. I was having fun.
Feelings,"Little bit of anxiety. I don't remember the exact last time that I felt this, but there were some anxiousness."
Feelings,"My story is like when you're having a good day at work, but then the computers go down and then it gets very frustrating"
Feelings,"It reminds me of playing games when I was younger when computers first came out.
And you have to kind of figure exactly how it worked. The word search was a pain."
Feelings,"I was Feelings like I wanted to experiment in the balloon game, to see how big I can make the blue balloon, how close I could get it without popping it. "
Feelings,"It kind of reminded me of working on a computer when it's frustrating because it doesn't do quite what you had in mind, because neither my finger nor the stylus seem to be picking up the words consistently and so it's sort of like when you do something on a computer that you think is the right action, but the computer isn't responding in the way that you anticipated."
Feelings,"It was a little bit similar to learning to play the piano as an adult where sometimes you felt a sense of mastery and other times you just felt frustrated.
"
Feelings,"On the secondpuzzle, it was more challenging, it was harder to find the words, so it was a little bit frustrating. I didn’treally have a super good “story story” about it, but it’s kind of, it made me feel kind of uncertain after a while as I was finding all the words and made me wonder if I was doing it correctly, but it was actuallyjust kind of fun to push the buttons.
"
Feelings,"So it felt pretty good, pretty normal to keep asking for cards until I reached a certain amount, and then I stopped. So it actuallyfelt pretty good. I’m finished"
Feelings,"Well, a little while ago my daughter had to have her tonsils and adenoids removed and I wassitting in the waiting room and I was kind of anxious about the procedure. I was pretty relaxed, thought itwould go pretty well but still worried in that situation so I was sitting nervously, wondering howeverything was going, waiting for them to let us know"
Feelings,"And after a while time started going by, we gotgood news, everything was going fine. I just had to wait for everything with recovery and then it got kindof boring waiting there so just sitting there, wasn’t nervous anymore. "
Feelings," I was just Feelings a little anxiousabout being stuck in one place for so long, just a little bored. So then I just had to sit there and wait it out.Eventually, it got to the end of it and we went home, and she made a full recovery and she’s doing muchbetter, so I felt good about the results. I’m finished."
Feelings,"A story. Well, it was confusing. It made me feel like a little kid looking at the crossword puzzles that my dad used to do; and not being able to find the words; and not really understanding why he thought they were so interesting."
Feelings,It was a little bit frustrating.
Feelings,"Well, it was like sitting at a blackjack table and just asking for cards and trying not to busteach time. And I was just trying to see how many cards i could get before I busted, so it started with just acouple new cards, then I take go ahead and take 4 cards and see how that worked and the more cards Itook, the more often I busted. But one trick I did was when I got to 18, I stopped."
Feelings,"It was getting a little monotonous.Because the balloons are so frustrating, but the word search game it's enjoyable. But it seems like I'm really having a lot of trouble going diagonally and backwards. But It was kind of fun."
Feelings,I don't know. Nothing comes to mind. I'm Feelings mildly bored or rather mildly irritated and somewhat bored. Last time I felt like this was when I was talking to someone and I wanted to be alone and I was not interested in what they were saying.
Feelings,"Anytime that I had to go to the movies when my kids were little that were totally uninteresting to me, that's how I feel now. I don't know when the last time I had this kind of Feelings was. Maybe when somebody was giving a speech that I was not interested in."
Feelings,"Often if I am sitting home bored I will turn on something on the TV even though it is not very interesting to me but it. is enough to slightly. distract my mind from how bored I am. It was really nothing to do.

"
Feelings,"When I was younger, a child, it was rewarding when I pumped up the balloon or found the words. 

"
Feelings,"When the balloon popped, I was pretty disappointed and yeah it’s fairly enjoyable. "
Feelings,"Well, it was little exciting. I was curious to know how much air that blue balloon would actually hold. It definitely seemed to be the biggest one. So I was going to try to just go until it popped but then I was worried about my total amount of money so I didn’t. And the word search was pretty hard. I guess, I would say I was challenged. So that sums it up the best. I felt challenged and you know of course you want to go for it while also not blowing it. "
Feelings,"Well, I guess, compared to the last few times and I think I'm starting to get a little bored. The balloon game doesn't seem as much fun as it did earlier. And the word search it's still okay, but again I would say I'm getting a little bored. I think boredom usually makes me want to go and do something different."
Feelings,"I’m relatively relaxed, it just reminded me of being at home in my living room and hanging out with my dog and my wife and watching TV."
Feelings,"I was Feelings confident, because two of the word puzzles had to do with music styles and musical instruments and I've been a musician since the 1980s, so I was Feelings confident that I would do well on those puzzles. I usually feel confident when I'm playing video games with my friends on the playstation four because I'm pretty good at those games and I can hold my own so this was similar."
Feelings,I felt a bit distressful and leery because I saw some lights turning on this fireplace and I was wondering if he's gonna start cranking up the heat on me to make things more difficult.
Feelings,The first two things I noticed was the fireplace went off and then I kept getting a connection error on my tablet which reminds me of how annoyed I get at home when I'm trying to watch a movie or play a game and my Internet is sketchy so it reminds me of when I’m at home and the Internet does not cooperate.
Feelings,"The balloon one did not seem to have a pattern, I thought there was a different color that would last longer, but every balloon seemed to be random. I have a Feelings of accomplishment after learning how to do the balloon game better than I did the word puzzle game.
When I finished the sudoku puzzle."
Feelings,"Accomplishment! I felt like I did better on both games.
Success in a three star force star city puzzle."
Feelings,"Repetition. That's a story that keeps on going. The same story, different parts.
Relief, end of the school year."
Feelings,I guess it reminds me of when I was trying to learn to weave and the instructions seemed confusing. I couldn't remember what happened first and what happened second. I was always glad to have people help me and I was glad when I got better at it.
Feelings,Right now I'm Feelings sort of relieved that this first round is over
Feelings,"I'm not Feelings anything particular right now. Perhaps a little bit like taking final exams, I’m not sure."
Feelings,I'm not sure how I'm Feelings. I’m just wondering what happens next.
Feelings,I’m not sure I have any particular Feelings except contributing to a research project which I'm happy to do.
