Category,text
Thoughts,"So the military word search one, made me think of the time that I was in the army and was trying to recall all the different rankings."
Thoughts,"I guess playing the games, while the doctor is watching on, made me think of playing the games at home or at school and, like my students watching me or my husband watching me and wanting to do good or well. I guess pride, I felt proud."
Thoughts,"Little bit of anxiety. I don't remember the exact last time that I felt this, but there were some anxiousness."
Thoughts,"It reminds me of playing games when I was younger when computers first came out.
And you have to kind of figure exactly how it worked. The word search was a pain."
Thoughts,"It reminded me of having to figure out the balloon game, figure out which balloon you can fill up and how much and then I got over confident and one popped early. The word games I had to really search my vocabulary on some of the items and I just didn’t know much about them. Some of them I knew a lot so it was much easier to find words."
Thoughts,"And I think I figured I had to do it quickly, because when I did it slowly and wouldn’t get as many numbers, it was kind of like just a nice let's see if we can figure this out."
Thoughts,"It kind of reminded me of working on a computer when it's frustrating because it doesn't do quite what you had in mind, because neither my finger nor the stylus seem to be picking up the words consistently and so it's sort of like when you do something on a computer that you think is the right action, but the computer isn't responding in the way that you anticipated."
Thoughts,It felt sort of like playing arcade games where it's sort of amusing and bemusing but I didn't really feel like I have a stake in the outcome.
Thoughts,"It was a little bit similar to learning to play the piano as an adult where sometimes you felt a sense of mastery and other times you just felt frustrated.
"
Thoughts,"It was kind of like playing word games on my iPad. 
"
Thoughts,"I don't really have much of a story, playing word search reminded me of when I was a kid and I did word searches. The balloon one doesn't really remind me of a story other than maybe going to the zoo and seeing balloons."
Thoughts,"The story for the balloon, I feel like I’m getting this figured out I can pop up the blue balloon a lot further than the yellow or the orange, but I’m having a little trouble figuring out when the the orange or the yellow balloon pops so I’m being really risk averse but I’m being very much riskier on the blue balloon. On the word game I had a little trouble with the weapons, but the other ones I could get."
Thoughts,"I don't know if I really have a story that reminds me of playing the games right now. I'm still not getting the risk of how far I could go with the blue balloon and how far I can go with the yellow and the orange but I'm being kind of risk averse there so that's my story. The word search reminds me of sitting in a car and doing card games on trips, long vacation trips, when I was a kid we used to do the word searches."
Thoughts,"I'm sorry but I think I've run out of stories that relate to these games. I'm not creative enough to come up with stories related to these games. There's not enough to them to really come up with a story.





"
Thoughts,"Rava, a story is, the games reminded me of... Well the balloon game reminded me of tryingto throw something in the garbage can. It keeps falling out and I keep trying to throw it in and it keepsfalling out. That’s what it reminded me of when it kept popping quickly. The word search game made mewish I had a list to go off of. It was, it was fun at first, but then it got kind of challenging."
Thoughts,"Well, it reminded me of the time I was randomly playing slot machines and just putting inwhatever amount randomly and then pushing the spin button. It wasn’t working out very well so I decidedto change my strategy and put in so many coins at a time and see what happens with that same bet. So,that’s what I did. I pushed the balloon five times and I pay out or it popped and I made about a quartereach time, and I came up with about six bucks. I think the first time I did it I came up with about sixbucks too in some sort of random way. So I really don’t think it mattered a whole lot the approach that Igave. For the word search game, this time, I went ahead and just tried to find the easy words that I couldand then moved on to the next one. (I’m) pretty good at reading left to right and not bad up and down. It’sthe diagonal ones that really get me still. I kind of feel like my approach became less random and moresystematic as I went along these games. That’s my story and I’m sticking to it."
Thoughts," Well, it was like sitting at a blackjack table and just asking for cards and trying not to busteach time. And I was just trying to see how many cards i could get before I busted, so it started with just acouple new cards, then I take go ahead and take 4 cards and see how that worked and the more cards Itook, the more often I busted. But one trick I did was when I got to 18, I stopped."
Thoughts,"Because yellow and orange balloons seemed to not be able to be blown up at all and I kept wanting to, I think I did blow up at least one blue balloon but I kept thinking the blue balloons were gonna make me more money and I didn't like the yellow orange balloons at all. And I like the word search puzzles, but for some reason."
Thoughts,"Well, it was like sitting at a blackjack table and just asking for cards and trying not to busteach time. And I was just trying to see how many cards i could get before I busted, so it started with just acouple new cards, then I take go ahead and take 4 cards and see how that worked and the more cards Itook, the more often I busted. But one trick I did was when I got to 18, I stopped."
Thoughts,"Yeah I was at a brunch with my friend for her 70th birthday and there were a number of other people there, I didn’t know, and they were a couple of women were professors at U of I who wanted particularly to talk a lot about her work, translating stories about seeds. That were written in low German and translating into English. And I felt like looking for the names of clergy. Her story was interesting, but I was having a lot of trouble following it."
Thoughts,The last time I had this Feelings was the previous round of games. That's the first thing comes to mind.
Thoughts,I don't know. Nothing comes to mind. I'm Feelings mildly bored or rather mildly irritated and somewhat bored. Last time I felt like this was when I was talking to someone and I wanted to be alone and I was not interested in what they were saying.
Thoughts,"Anytime that I had to go to the movies when my kids were little that were totally uninteresting to me, that's how I feel now. I don't know when the last time I had this kind of Feelings was. Maybe when somebody was giving a speech that I was not interested in."
Thoughts,"Often if I am sitting home bored I will turn on something on the TV even though it is not very interesting to me but it. is enough to slightly. distract my mind from how bored I am. It was really nothing to do.

"
Thoughts,"When I was younger, a child, it was rewarding when I pumped up the balloon or found the words. 

"
Thoughts,"Well, it was little exciting. I was curious to know how much air that blue balloon would actually hold. It definitely seemed to be the biggest one. So I was going to try to just go until it popped but then I was worried about my total amount of money so I didn’t. And the word search was pretty hard. I guess, I would say I was challenged. So that sums it up the best. I felt challenged and you know of course you want to go for it while also not blowing it. "
Thoughts,"Well, I feel like I'm learning, because that blue balloon holds a lot more air than the other two. That kind of makes me sort of laugh when the other to break right away. "
Thoughts,"Well, I guess, compared to the last few times and I think I'm starting to get a little bored. The balloon game doesn't seem as much fun as it did earlier. And the word search it's still okay, but again I would say I'm getting a little bored. I think boredom usually makes me want to go and do something different."
